,lvl1_медиа,lvl1_наука_и_техника,lvl1_общество_и_путешествия,lvl1_политика,lvl1_происшествия,lvl1_экономика_и_финансы,,lvl1_культура,lvl1_бизнес,lvl1_спорт,lvl1_силовые_структуры
230,129,109,1007,437,5.0,241,280,228,8.0,229,63
231,206,138,1667,687,12.0,377,975,455,16.0,309,94
232,200,161,1737,694,12.0,379,1609,550,14.0,323,107
233,151,87,1523,569,14.0,309,426,376,9.0,247,83
234,126,86,1480,549,8.0,272,343,309,5.0,252,71
235,126,92,1314,475,8.0,237,347,283,6.0,281,72
236,128,86,1121,392,8.0,188,347,254,6.0,275,53
237,123,78,892,309,7.0,160,283,213,2.0,266,51
238,94,41,470,241,5.0,145,143,137,3.0,124,37
239,93,33,436,169,4.0,139,67,104,4.0,58,44
240,69,34,599,177,9.0,209,98,131,15.0,77,67
241,112,107,1172,415,6.0,471,203,304,24.0,180,62
242,271,210,2562,1030,10.0,1090,414,621,63.0,347,186
243,326,363,3926,1427,12.0,1581,1148,1097,80.0,548,335
244,316,439,4830,1592,27.0,1496,1977,1472,96.0,621,234
245,282,340,4715,1603,31.0,1578,791,1351,103.0,591,200
246,302,331,4300,1496,18.0,1433,668,1259,73.0,507,230
247,287,225,2978,1059,12.0,962,532,775,71.0,322,166
248,222,165,1873,737,16.0,608,452,488,32.0,292,130
249,152,111,1192,438,15.0,380,328,256,13.0,251,101
250,85,64,636,252,11.0,226,187,192,2.0,110,70
251,62,43,490,174,7.0,160,86,115,7.0,56,52
252,68,60,750,230,10.0,216,114,144,11.0,84,48
253,137,143,1267,464,6.0,498,201,364,24.0,136,77
254,241,236,2568,1067,12.0,1215,466,639,44.0,313,186
255,334,373,4215,1492,20.0,1792,1042,1352,100.0,510,213
256,356,443,4975,1775,32.0,1881,2094,1756,107.0,633,216
257,346,384,4255,1565,21.0,1691,825,1425,84.0,514,194
258,270,323,3855,1447,22.0,1339,614,1402,84.0,449,230
259,223,267,3006,1114,14.0,1081,485,947,68.0,361,137
260,164,202,1985,685,8.0,558,475,482,28.0,286,72
261,123,129,1461,502,8.0,356,330,273,14.0,182,47
262,89,66,785,281,13.0,213,153,138,4.0,110,21
263,35,51,586,218,7.0,183,92,100,5.0,72,25
264,36,55,657,228,5.0,270,86,114,18.0,83,34
265,76,109,1253,522,10.0,449,225,295,24.0,148,70
266,223,250,2874,1095,11.0,1186,483,672,40.0,364,131
267,295,384,4347,1671,27.0,1717,621,1111,78.0,502,248
268,312,407,4714,1717,31.0,1711,787,1348,124.0,544,216
269,279,398,4556,1820,20.0,1623,639,1298,114.0,579,199
270,360,416,4371,1765,32.0,1601,1573,1452,97.0,575,194
271,331,355,3283,1496,15.0,1134,1261,1067,67.0,440,139
272,194,218,2116,950,6.0,622,456,505,27.0,261,75
273,138,125,1358,518,15.0,337,393,272,8.0,294,48
274,87,54,887,311,10.0,240,186,177,9.0,149,34
275,42,39,574,209,1.0,143,80,104,9.0,67,21
276,55,62,636,274,3.0,174,103,124,16.0,63,43
277,87,110,1251,500,3.0,426,223,287,18.0,145,94
278,203,272,2618,1077,8.0,1114,456,633,51.0,325,169
279,268,394,4278,1704,21.0,1522,662,1178,103.0,524,258
280,291,454,4563,2019,22.0,1712,684,1417,112.0,542,226
281,326,480,4229,1783,25.0,1548,631,1454,113.0,549,199
282,263,454,3728,1606,23.0,1383,1875,1351,100.0,426,201
283,230,300,3144,1369,14.0,1122,1556,1202,99.0,418,152
284,177,180,1950,952,7.0,563,485,601,29.0,292,68
285,105,92,1207,562,11.0,332,348,285,10.0,262,60
286,74,53,707,357,10.0,236,158,187,9.0,166,40
287,54,32,499,226,4.0,159,89,124,6.0,86,29
288,55,38,605,218,8.0,217,84,153,20.0,75,25
289,97,98,1186,479,6.0,426,185,283,19.0,118,76
290,207,238,2724,1151,14.0,996,402,708,45.0,311,136
291,296,376,4448,1721,39.0,1604,927,1295,97.0,538,239
292,365,505,4903,1885,40.0,1678,2079,1529,108.0,608,244
293,355,392,4213,1697,18.0,1392,878,1361,107.0,481,184
294,360,363,3692,1520,19.0,1234,475,1298,112.0,409,177
295,262,296,2786,1280,15.0,916,489,932,90.0,329,118
296,205,145,1652,870,14.0,489,363,543,19.0,199,65
297,131,110,1187,489,4.0,320,323,330,14.0,225,53
298,92,65,652,289,11.0,198,174,193,3.0,134,19
299,39,33,347,180,4.0,78,105,97,2.0,48,17
300,47,33,323,149,8.0,91,85,79,1.0,43,14
301,61,49,572,215,4.0,176,110,131,4.0,55,42
302,134,89,1162,508,3.0,315,302,303,4.0,165,58
303,172,152,1787,755,7.0,529,1014,496,11.0,283,111
304,187,180,1913,761,8.0,533,1370,548,17.0,299,128
305,169,131,1564,633,10.0,436,494,456,6.0,284,64
306,135,124,1394,613,9.0,291,370,456,6.0,248,58
307,124,101,1315,582,7.0,307,383,320,6.0,253,75
308,94,93,1068,473,4.0,211,323,295,2.0,243,53
309,110,58,817,366,6.0,166,287,205,1.0,220,34
310,68,37,498,219,10.0,113,202,121,4.0,102,22
311,34,18,281,140,2.0,97,75,64,0.0,62,28
312,40,16,246,135,5.0,79,59,58,1.0,53,16
313,61,43,464,197,3.0,128,123,127,5.0,139,36
314,98,75,1009,439,7.0,262,249,219,5.0,296,45
315,207,144,1555,703,5.0,390,1041,456,10.0,392,106
316,202,224,1879,800,14.0,572,1656,495,14.0,376,112
317,185,124,1491,676,7.0,304,526,433,4.0,265,81
318,141,81,1316,557,5.0,255,365,366,4.0,263,58
319,150,85,1150,587,8.0,250,401,306,4.0,270,57
320,141,62,1027,498,2.0,247,367,264,3.0,310,44
321,140,49,848,366,3.0,129,284,215,1.0,265,44
322,67,44,539,255,8.0,183,183,172,4.0,164,35
323,49,27,393,183,4.0,135,79,86,13.0,63,20
324,66,41,523,171,2.0,224,111,144,11.0,62,39
325,124,103,1065,438,8.0,445,173,289,22.0,131,66
326,253,225,2576,1013,20.0,1070,448,617,40.0,343,141
327,402,365,3824,1594,25.0,1627,670,1048,98.0,564,238
328,332,382,4221,1704,31.0,1683,665,1339,108.0,561,240
329,341,403,3696,1503,20.0,1433,564,1303,101.0,514,295
330,239,371,3566,1420,18.0,1311,509,1254,82.0,465,162
331,203,260,2567,965,7.0,957,465,811,30.0,348,94
332,229,303,2473,1076,4.0,841,519,781,47.0,321,102
333,178,169,1598,711,9.0,487,447,422,16.0,218,88
334,125,97,1004,473,9.0,304,280,271,5.0,179,65
335,67,43,518,305,9.0,165,110,150,10.0,92,44
336,54,50,493,234,10.0,171,65,96,7.0,50,49
337,83,107,873,386,9.0,307,120,188,34.0,83,68
338,188,232,1959,872,7.0,773,298,451,34.0,212,119
339,275,419,3558,1465,21.0,1543,575,880,68.0,412,199
340,297,523,4389,1975,23.0,1959,676,1309,121.0,508,218
341,329,557,4208,1830,26.0,1758,585,1320,121.0,539,246
342,332,570,3856,1767,25.0,1550,824,1163,80.0,477,302
343,274,528,3599,1708,22.0,1532,1695,1320,106.0,514,236
344,232,333,2619,1151,19.0,1060,982,953,48.0,377,148
345,157,166,1496,710,13.0,591,432,417,15.0,223,98
346,104,93,1026,456,5.0,306,256,256,6.0,159,60
347,62,47,479,282,11.0,176,98,130,7.0,78,33
348,50,55,420,248,3.0,165,62,99,11.0,46,32
349,76,81,766,310,8.0,288,119,161,15.0,53,33
350,116,169,1629,699,9.0,703,289,421,25.0,172,69
351,205,407,3287,1350,15.0,1443,480,897,68.0,349,150
352,272,554,4331,1794,25.0,1841,619,1297,125.0,484,204
353,270,607,4528,1889,28.0,1698,607,1408,122.0,470,207
354,297,522,4134,1921,12.0,1652,566,1364,88.0,377,163
355,255,493,3448,1742,14.0,1337,532,1174,73.0,381,154
356,234,333,2585,1252,14.0,1111,1329,856,56.0,381,129
357,152,194,1560,894,22.0,700,1368,449,12.0,239,91
358,125,109,861,477,2.0,309,225,231,9.0,123,53
359,68,51,477,241,5.0,188,97,135,1.0,57,27
360,42,52,472,183,4.0,176,103,107,5.0,46,24
361,71,124,888,328,5.0,327,138,228,19.0,85,60
362,151,267,1812,841,6.0,858,312,455,46.0,193,99
363,284,513,3281,1331,22.0,1493,534,957,58.0,328,164
364,346,662,4304,1713,21.0,2096,1718,1646,135.0,482,219
365,380,630,4121,1645,27.0,1776,1324,1490,106.0,408,201
366,338,512,4034,1608,2.0,1508,536,1322,90.0,404,166
367,245,345,2505,1137,1.0,1048,446,753,48.0,280,102
368,201,190,1670,754,5.0,583,409,306,25.0,199,73
369,160,150,1367,526,11.0,383,424,289,4.0,199,38
370,99,139,889,381,3.0,292,254,251,7.0,189,27
